station_id,name,lat,lon,capacity,address
180,139-Cataluña: Sta. Fe,41.665789,-0.856074,19,139-Cataluña: Sta. Fe
181,140-Cataluña: I. Sto. Domingo,41.667491,-0.852834,19,140-Cataluña: I. Sto. Domingo
182,141-Cataluña: Aguas Vivas,41.669855,-0.846149,19,141-Cataluña: Aguas Vivas
183,96-Pomarón: Pº La Mina ,41.647847,-0.877304,23,96-Pomarón: Pº La Mina 
184,105-Dr. Horno: Sacramento,41.649306,-0.891034,19,105-Dr. Horno: Sacramento
185,173-Pignatelli: Ruiz Tapiador,41.633364,-0.888367,19,173-Pignatelli: Ruiz Tapiador
186,175-Pza. Las Canteras,41.631854,-0.885435,19,175-Pza. Las Canteras
187,176-Tierno Galván: S. Ramírez,41.632061,-0.881892,19,176-Tierno Galván: S. Ramírez
188,258- Parq. Maska: Rallo Lahoz,41.656,-0.926898,19,258- Parq. Maska: Rallo Lahoz
189,206-Lagos Coronas: Astún,41.65683944,-0.93404537,19,206-Lagos Coronas: Astún
190,181-Castellar: Lasierra Purroy,41.628636,-0.883886,19,181-Castellar: Lasierra Purroy
191,182- Parq. La Paz,41.627747,-0.879296,19,182- Parq. La Paz
192,183- Corazón de Jesús: Padua,41.628196,-0.875691,15,183- Corazón de Jesús: Padua
193,184- Cuarta Avenida: Oviedo,41.626052,-0.882987,19,184- Cuarta Avenida: Oviedo
194,201-Lagos Coronas: Leyva,41.650954,-0.9331640000000001,19,201-Lagos Coronas: Leyva
195,174- Octavio Toledo: Buenavista,41.63213,-0.890674,19,174- Octavio Toledo: Buenavista
196,177- Fray J. Garcés: Boente,41.629758,-0.887448,19,177- Fray J. Garcés: Boente
197,178- Pinar: Cuarte,41.629549,-0.890889,19,178- Pinar: Cuarte
198,179-Fray J. Garcés: Lerga Luna,41.627091,-0.888191,23,179-Fray J. Garcés: Lerga Luna
199,180- V. Huarte: Barbastro,41.627233,-0.891621,19,180- V. Huarte: Barbastro
200,185- Cuarta Avenida: Montecarlo,41.624721,-0.878941,19,185- Cuarta Avenida: Montecarlo
201,186- Cuarta Avenida: Magaña,41.624919,-0.876041,18,186- Cuarta Avenida: Magaña
202,188- Pza. San Marcos,41.615692142291046,-0.8730713313522287,19,188- Pza. San Marcos
203,187- Pza. Marco Polo,41.619959,-0.873534,19,187- Pza. Marco Polo
204,203- Lagos Llosas: Solana,41.662254,-0.929246,19,203- Lagos Llosas: Solana
205,209- Puente Los Suspiros,41.618079,-0.875307,19,209- Puente Los Suspiros
206,210- Rda. Hispanidad: Tiziano,41.620275,-0.876226,19,210- Rda. Hispanidad: Tiziano
207,202- Lagos Coronas: Camisera,41.65387,-0.9344110000000001,19,202- Lagos Coronas: Camisera
208,205- Lagos Alba: Trigoniero,41.660601,-0.931025,19,205- Lagos Alba: Trigoniero
209,207- Cno. Pilón: Orozco,41.658624,-0.940997,19,207- Cno. Pilón: Orozco
210,208- Ibón Plan: Cno. Pilón,41.659227,-0.9378660000000001,19,208- Ibón Plan: Cno. Pilón
211,251- Millán Serrano: Orquídea,41.642514,-0.9288339999999999,19,251- Millán Serrano: Orquídea
212,241- A. Príncipe: Anillo Verde,41.653,-0.924231,19,241- A. Príncipe: Anillo Verde
213,259- Cno. Pilón: Oriz García,41.658363,-0.928531,19,259- Cno. Pilón: Oriz García
214,260- Ibón Armeña: Cno. Pilón,41.658995,-0.93347,19,260- Ibón Armeña: Cno. Pilón
215,274- Cno. Pilón: Pz. Peñetas,41.658767,-0.9432640000000001,19,274- Cno. Pilón: Pz. Peñetas
216,240- Hispanidad: Rallo Lahoz,41.65491,-0.92086,19,240- Hispanidad: Rallo Lahoz
217,242- Rguez. Ayuso: Enlaces,41.649487,-0.91929,19,242- Rguez. Ayuso: Enlaces
218,253- Rguez. Ayuso 58,41.646895,-0.9231149999999999,19,253- Rguez. Ayuso 58
219,257- Bosqued: Pasteur,41.650808,-0.9214659999999999,19,257- Bosqued: Pasteur
221,204- Leyva: S. Alberto Magno,41.651629,-0.9297380000000001,19,204- Leyva: S. Alberto Magno
222,256- Parq. Oeste: S. A. Magno,41.649743,-0.929742,19,256- Parq. Oeste: S. A. Magno
223,273- Cáncer: Camisera,41.653019,-0.9296520000000001,19,273- Cáncer: Camisera
224,243- Anillo Verde: Rguez. Ayuso,41.645146,-0.9240439999999999,19,243- Anillo Verde: Rguez. Ayuso
225,250- Biel: Hortensia,41.640861,-0.925267,19,250- Biel: Hortensia
226,254- Leyva: Anillo Verde,41.651593,-0.924945,19,254- Leyva: Anillo Verde
227,245- Campillo Llerena,41.638017,-0.9240720000000001,19,245- Campillo Llerena
228,247- Centauro: Argos,41.63585,-0.930446,19,247- Centauro: Argos
229,249- Pza. Inmaculada,41.639823,-0.930538,19,249- Pza. Inmaculada
230,252- Estrellas: Orión,41.643001,-0.9344179999999999,19,252- Estrellas: Orión
231,272- S. Juan B. Salle: Piquero,41.636135,-0.9412210000000001,19,272- S. Juan B. Salle: Piquero
232,194- Parq. Los Incrédulos,41.629825,-0.9082640000000001,19,194- Parq. Los Incrédulos
233,195- Sagrada Familia,41.629131,-0.9108450000000001,19,195- Sagrada Familia
234,246- Pza. Armonía,41.637761,-0.9327399999999999,19,246- Pza. Armonía
235,248- Orión: Ozanam,41.641184,-0.933899,19,248- Orión: Ozanam
236,192- Olivar: Quirón,41.630245,-0.920925,19,192- Olivar: Quirón
237,196- Argualas: El Greco,41.627355,-0.9149869999999999,19,196- Argualas: El Greco
238,244- Gmez. Laguna: Hayedo,41.639577,-0.9172970000000001,19,244- Gmez. Laguna: Hayedo
239,197- Vía Ibérica: Cno. Almotilla,41.623833,-0.911538,19,197- Vía Ibérica: Cno. Almotilla
240,199- Argualas: Sabocos,41.626005,-0.9120369999999999,19,199- Argualas: Sabocos
241,200- Pza. Bámbola,41.622885,-0.9176819999999999,19,200- Pza. Bámbola
242,223- Ilustración 21,41.630031,-0.935696,19,223- Ilustración 21
243,225- Ilustración: Mesta,41.630092,-0.9411799999999999,19,225- Ilustración: Mesta
244,226- Camping Rosales,41.638205,-0.943341,19,226- Camping Rosales
245,228- Wagner: Beethoven,41.63423,-0.945313,19,228- Wagner: Beethoven
246,229- J. Rodrigo: Beethoven ,41.638058,-0.945884,19,229- J. Rodrigo: Beethoven 
247,211- Los Olvidados: Mercado,41.621865,-0.91975,19,211- Los Olvidados: Mercado
248,214- Ciud. Kane: Los Pájaros,41.621684,-0.923764,19,214- Ciud. Kane: Los Pájaros
249,230- Beethoven: Schubert,41.639589,-0.9483250000000001,19,230- Beethoven: Schubert
250,212- Los Olvidados: Shangai,41.618636,-0.922549,19,212- Los Olvidados: Shangai
251,216- Ilustración: Jovellanos,41.627612,-0.9258939999999999,19,216- Ilustración: Jovellanos
252,231- Heroínas Sitios: Gómara,41.627549,-0.962297,19,231- Heroínas Sitios: Gómara
253,233- 21 de Junio: Miguelete,41.625623,-0.957692,19,233- 21 de Junio: Miguelete
254,218- Desayuno Diamantes,41.62293968,-0.92975862,18,218- Desayuno Diamantes
255,219- Tomás Lezáun: Ilustración,41.629767,-0.9317870000000001,19,219- Tomás Lezáun: Ilustración
256,220- Isla del Tesoro: Titanic,41.62536782,-0.93101623,21,220- Isla del Tesoro: Titanic
257,221- Casablanca: L. Schindler,41.62138321,-0.9338871999999999,19,221- Casablanca: L. Schindler
258,213- Pza. Edad de Oro,41.616907,-0.92503,19,213- Pza. Edad de Oro
259,215- Veracruz: Manhattan,41.621099,-0.9273939999999999,19,215- Veracruz: Manhattan
260,217- Isla Tesoro: Resplandor,41.624531,-0.9273169999999998,19,217- Isla Tesoro: Resplandor
261,227- Patio Naranjos: Rolando,41.622584,-0.948872,19,227- Patio Naranjos: Rolando
262,145- Avda. Estudiantes,41.672233,-0.830639,19,145- Avda. Estudiantes
263,146- Pza. Serrano Berges,41.666896,-0.831292,19,146- Pza. Serrano Berges
264,222- Americano París: Jard. Alá,41.62416141,-0.93614365,19,222- Americano París: Jard. Alá
265,232- Cañones Zaragoza: Tella,41.622353,-0.9530949999999999,19,232- Cañones Zaragoza: Tella
266,143- Sta. Isabel: Víctor Jara,41.66938,-0.838441,23,143- Sta. Isabel: Víctor Jara
267,144- Ostáriz Forcén: Brazal,41.669108,-0.833747,19,144- Ostáriz Forcén: Brazal
268,147- Norte: Iglesia,41.669329,-0.830273,19,147- Norte: Iglesia
269,263- Avda. Real Zaragoza,41.666994,-0.823078,19,263- Avda. Real Zaragoza
270,22- Delicias Llegadas,41.658959,-0.9138219999999999,19,22- Delicias Llegadas
271,142- Ávila: Valencia,41.646496,-0.896808,19,142- Ávila: Valencia
272,189- Puerto Venecia Oeste,41.608748,-0.890186,39,189- Puerto Venecia Oeste
273,224- Manuel Viola,41.659116,-0.85727,19,224- Manuel Viola
274,190- Puerto Venecia Este,41.608201,-0.883927,41,190- Puerto Venecia Este
276,127- Navarra: Rioja,41.6555116,-0.90866028,19,127- Navarra: Rioja
277,150- Mrio. Siresa: Dr. Iranzo,41.647562,-0.864074,19,150- Mrio. Siresa: Dr. Iranzo
278,270- Delicias Autobuses,41.659493,-0.910759,19,270- Delicias Autobuses
279,193- Pza. La Ermita,41.631471,-0.9111899999999999,19,Pza. La Ermita
